import time: self [us] | cumulative | imported package
import time:       109 |        109 |   _io
import time:        16 |         16 |   marshal
import time:       138 |        138 |   posix
import time:       265 |        528 | _frozen_importlib_external
import time:        44 |         44 |   time
import time:       130 |        173 | zipimport
import time:        27 |         27 |     _codecs
import time:       220 |        246 |   codecs
import time:       165 |        165 |   encodings.aliases
import time:       316 |        726 | encodings
import time:       135 |        135 | encodings.utf_8
import time:        51 |         51 | _signal
import time:       129 |        129 | encodings.latin_1
import time:        19 |         19 |     _abc
import time:       115 |        134 |   abc
import time:       125 |        258 | io
import time:        71 |         71 |       _stat
import time:       132 |        203 |     stat
import time:       559 |        559 |     _collections_abc
import time:        88 |         88 |       genericpath
import time:       107 |        195 |     posixpath
import time:       269 |       1224 |   os
import time:        87 |         87 |   _sitebuiltins
import time:        39 |         39 |     _locale
import time:        73 |        111 |   _bootlocale
import time:        86 |         86 |     __future__
import time:       120 |        120 |         types
import time:       133 |        133 |         warnings
import time:       136 |        388 |       importlib
import time:       105 |        493 |     importlib.machinery
import time:        32 |         32 |               _heapq
import time:       328 |        360 |             heapq
import time:        46 |         46 |             itertools
import time:        75 |         75 |             keyword
import time:        33 |         33 |               _operator
import time:       132 |        164 |             operator
import time:        86 |         86 |             reprlib
import time:        30 |         30 |             _collections
import time:       378 |       1135 |           collections
import time:        77 |         77 |           collections.abc
import time:        50 |         50 |               _functools
import time:       254 |        303 |             functools
import time:       276 |        579 |           contextlib
import time:       331 |        331 |             enum
import time:        33 |         33 |               _sre
import time:       148 |        148 |                 sre_constants
import time:       250 |        398 |               sre_parse
import time:       134 |        565 |             sre_compile
import time:        76 |         76 |             copyreg
import time:       261 |       1230 |           re
import time:       913 |       3932 |         typing
import time:       297 |       4229 |       importlib.abc
import time:       111 |       4339 |     importlib.util
import time:        83 |         83 |       fnmatch
import time:        38 |         38 |         nt
import time:        30 |         30 |         nt
import time:        27 |         27 |         nt
import time:        26 |         26 |         nt
import time:       107 |        225 |       ntpath
import time:        37 |         37 |       errno
import time:        70 |         70 |         urllib
import time:       639 |        639 |         ipaddress
import time:       533 |       1241 |       urllib.parse
import time:       422 |       2007 |     pathlib
import time:       266 |       7189 |   __editable___llava_1_7_0_dev0_finder
import time:       154 |        154 |   __editable___lmms_eval_0_5_0_finder
import time:       128 |        128 |   _distutils_hack
import time:        67 |         67 |   sitecustomize
import time:       908 |       9865 | site
import time:        91 |         91 |               _json
import time:       198 |        288 |             json.scanner
import time:       207 |        495 |           json.decoder
import time:       266 |        266 |           json.encoder
import time:       113 |        874 |         json
import time:        35 |         35 |         math
import time:        42 |         42 |           zlib
import time:       112 |        112 |             _compression
import time:       150 |        150 |               _weakrefset
import time:       274 |        423 |             threading
import time:       123 |        123 |             _bz2
import time:       123 |        780 |           bz2
import time:       128 |        128 |             _lzma
import time:       117 |        244 |           lzma
import time:        22 |         22 |           pwd
import time:        18 |         18 |           grp
import time:       300 |       1404 |         shutil
import time:       493 |        493 |               signal
import time:        75 |         75 |               msvcrt
import time:        21 |         21 |               _posixsubprocess
import time:        27 |         27 |               select
import time:       363 |        363 |               selectors
import time:       363 |       1339 |             subprocess
import time:      1098 |       2437 |           platform
import time:       643 |        643 |           textwrap
import time:       545 |        545 |             _ctypes
import time:        38 |         38 |               _struct
import time:       143 |        180 |             struct
import time:       195 |        195 |             ctypes._endian
import time:       666 |       1585 |           ctypes
import time:       453 |        453 |               _ast
import time:       676 |       1129 |             ast
import time:       165 |        165 |                 _opcode
import time:       234 |        398 |               opcode
import time:       319 |        716 |             dis
import time:       179 |        179 |                 token
import time:       597 |        775 |               tokenize
import time:       160 |        935 |             linecache
import time:       862 |       3641 |           inspect
import time:       268 |        268 |             traceback
import time:       405 |        672 |           torch._utils
import time:       312 |        312 |               weakref
import time:        23 |         23 |                 _string
import time:       407 |        430 |               string
import time:        43 |         43 |               atexit
import time:      1268 |       2051 |             logging
import time:        24 |         24 |                   _bisect
import time:       151 |        175 |                 bisect
import time:        17 |         17 |                 _random
import time:        15 |         15 |                 _sha512
import time:       283 |        489 |               random
import time:       334 |        822 |             tempfile
import time:       174 |       3046 |           torch._utils_internal
import time:       107 |        107 |             torch.version
import time:       151 |        258 |           torch.torch_version
import time:       162 |        162 |                   numpy._utils._convertions
import time:       170 |        332 |                 numpy._utils
import time:       341 |        672 |               numpy._globals
import time:       409 |        409 |               numpy.exceptions
import time:       253 |        253 |               numpy.version
import time:        41 |         41 |                 numpy._distributor_init_local
import time:       191 |        231 |               numpy._distributor_init
import time:       235 |        235 |                         numpy._utils._inspect
import time:       406 |        406 |                             _datetime
import time:      3396 |       3801 |                           datetime
import time:       342 |        342 |                           numpy.core._exceptions
import time:       162 |        162 |                           numpy.dtypes
import time:     21392 |      25696 |                         numpy.core._multiarray_umath
import time:       505 |      26435 |                       numpy.core.overrides
import time:       601 |      27035 |                     numpy.core.multiarray
import time:       207 |        207 |                     numpy.core.umath
import time:       367 |        367 |                       numbers
import time:       168 |        168 |                       numpy.core._string_helpers
import time:        74 |         74 |                             pickle5
import time:       554 |        554 |                               _compat_pickle
import time:        90 |         90 |                               _pickle
import time:        75 |         75 |                                   org
import time:        37 |        111 |                                 org.python
import time:        30 |        140 |                               org.python.core
import time:      1108 |       1890 |                             pickle
import time:       200 |       2163 |                           numpy.compat.py3k
import time:       166 |       2329 |                         numpy.compat
import time:       205 |        205 |                         numpy.core._dtype
import time:       321 |       2854 |                       numpy.core._type_aliases
import time:       342 |       3731 |                     numpy.core.numerictypes
import time:       216 |        216 |                                 _contextvars
import time:       167 |        382 |                               contextvars
import time:       334 |        716 |                             numpy.core._ufunc_config
import time:       395 |       1110 |                           numpy.core._methods
import time:       765 |       1875 |                         numpy.core.fromnumeric
import time:       306 |       2180 |                       numpy.core.shape_base
import time:       539 |        539 |                       numpy.core.arrayprint
import time:       167 |        167 |                       numpy.core._asarray
import time:       727 |       3612 |                     numpy.core.numeric
import time:       773 |        773 |                     numpy.core.defchararray
import time:       324 |        324 |                     numpy.core.records
import time:       196 |        196 |                     numpy.core.memmap
import time:       246 |        246 |                     numpy.core.function_base
import time:       167 |        167 |                     numpy.core._machar
import time:       258 |        258 |                     numpy.core.getlimits
import time:       374 |        374 |                     numpy.core.einsumfunc
import time:       538 |        538 |                       numpy.core._multiarray_tests
import time:      1090 |       1628 |                     numpy.core._add_newdocs
import time:       521 |        521 |                     numpy.core._add_newdocs_scalars
import time:       149 |        149 |                     numpy.core._dtype_ctypes
import time:       638 |        638 |                     numpy.core._internal
import time:       174 |        174 |                     numpy._pytesttester
import time:       537 |      40560 |                   numpy.core
import time:        17 |      40577 |                 numpy.core._multiarray_umath
import time:       345 |      40922 |               numpy.__config__
import time:       318 |        318 |                 numpy.lib.mixins
import time:       149 |        149 |                     numpy.lib.ufunclike
import time:       293 |        441 |                   numpy.lib.type_check
import time:       482 |        923 |                 numpy.lib.scimath
import time:       223 |        223 |                             numpy.lib.stride_tricks
import time:       351 |        573 |                           numpy.lib.twodim_base
import time:       626 |        626 |                           numpy.linalg._umath_linalg
import time:       250 |        250 |                             numpy._typing._nested_sequence
import time:       133 |        133 |                             numpy._typing._nbit
import time:       711 |        711 |                             numpy._typing._char_codes
import time:       421 |        421 |                             numpy._typing._scalars
import time:       153 |        153 |                             numpy._typing._shape
import time:      1113 |       1113 |                             numpy._typing._dtype_like
import time:      1370 |       1370 |                             numpy._typing._array_like
import time:       476 |       4622 |                           numpy._typing
import time:      1001 |       6822 |                         numpy.linalg.linalg
import time:       154 |       6975 |                       numpy.linalg
import time:       288 |       7262 |                     numpy.matrixlib.defmatrix
import time:       158 |       7419 |                   numpy.matrixlib
import time:       360 |        360 |                     numpy.lib.histograms
import time:       911 |       1270 |                   numpy.lib.function_base
import time:       420 |       9107 |                 numpy.lib.index_tricks
import time:       423 |        423 |                 numpy.lib.nanfunctions
import time:       400 |        400 |                 numpy.lib.shape_base
import time:       496 |        496 |                 numpy.lib.polynomial
import time:       562 |        562 |                 numpy.lib.utils
import time:       306 |        306 |                 numpy.lib.arraysetops
import time:       261 |        261 |                   numpy.lib.format
import time:       251 |        251 |                   numpy.lib._datasource
import time:       360 |        360 |                   numpy.lib._iotools
import time:       936 |       1807 |                 numpy.lib.npyio
import time:       190 |        190 |                 numpy.lib.arrayterator
import time:       284 |        284 |                 numpy.lib.arraypad
import time:       180 |        180 |                 numpy.lib._version
import time:       401 |      15391 |               numpy.lib
import time:       346 |        346 |                   numpy.fft._pocketfft_internal
import time:       409 |        755 |                 numpy.fft._pocketfft
import time:       187 |        187 |                 numpy.fft.helper
import time:       196 |       1137 |               numpy.fft
import time:       248 |        248 |                   numpy.polynomial.polyutils
import time:       379 |        379 |                   numpy.polynomial._polybase
import time:       490 |       1115 |                 numpy.polynomial.polynomial
import time:       341 |        341 |                 numpy.polynomial.chebyshev
import time:       306 |        306 |                 numpy.polynomial.legendre
import time:       291 |        291 |                 numpy.polynomial.hermite
import time:       333 |        333 |                 numpy.polynomial.hermite_e
import time:       297 |        297 |                 numpy.polynomial.laguerre
import time:       192 |       2873 |               numpy.polynomial
import time:        40 |         40 |                     gc
import time:        76 |         76 |                         backports_abc
import time:      1158 |       1234 |                       numpy.random._common
import time:       112 |        112 |                           binascii
import time:       279 |        390 |                         base64
import time:      1641 |       1641 |                           _hashlib
import time:        45 |         45 |                             _blake2
import time:       314 |        359 |                           hashlib
import time:       258 |       2258 |                         hmac
import time:       220 |       2867 |                       secrets
import time:       674 |       4773 |                     numpy.random.bit_generator
import time:       503 |        503 |                     numpy.random._bounded_integers
import time:       448 |        448 |                     numpy.random._mt19937
import time:      1641 |       7402 |                   numpy.random.mtrand
import time:       384 |        384 |                   numpy.random._philox
import time:       470 |        470 |                   numpy.random._pcg64
import time:       341 |        341 |                   numpy.random._sfc64
import time:      1364 |       1364 |                   numpy.random._generator
import time:       226 |      10184 |                 numpy.random._pickle
import time:       211 |      10395 |               numpy.random
import time:       421 |        421 |               numpy.ctypeslib
import time:      2065 |       2065 |                 numpy.ma.core
import time:       903 |        903 |                 numpy.ma.extras
import time:       233 |       3199 |               numpy.ma
import time:      2271 |      78168 |             numpy
import time:    353180 |     431348 |           torch._C
import time:        79 |         79 |                   org
import time:        44 |        122 |                 org.python
import time:        36 |        158 |               org.python.core
import time:       327 |        485 |             copy
import time:       231 |        231 |                 torch.utils.throughput_benchmark
import time:       129 |        129 |                 torch.utils.cpp_backtrace
import time:       274 |        274 |                 torch.utils.backend_registration
import time:       270 |        903 |               torch.utils
import time:       239 |       1141 |             torch.utils.hooks
import time:       163 |        163 |             torch._namedtensor_internals
import time:      1130 |       1130 |             torch.overrides
import time:       313 |        313 |             torch.utils.dlpack
import time:       599 |       3828 |           torch._tensor
import time:       338 |        338 |             torch.types
import time:       581 |        919 |           torch.storage
import time:       184 |        184 |           torch.random
import time:       572 |        572 |             difflib
import time:       788 |        788 |             tarfile
import time:       283 |        283 |             torch._sources
import time:       106 |        106 |               _socket
import time:      1842 |       1948 |             typing_extensions
import time:       207 |        207 |             torch._weights_only_unpickler
import time:       720 |       4515 |           torch.serialization
import time:       379 |        379 |             dataclasses
import time:       538 |        916 |           torch._tensor_str
import time:       228 |        228 |             torch.amp.autocast_mode
import time:       224 |        451 |           torch.amp
import time:       159 |        159 |             torch.cuda._utils
import time:      1409 |       1409 |               torch.utils._pytree
import time:       207 |       1616 |             torch.cuda.graphs
import time:       206 |        206 |             torch.cuda.streams
import time:       182 |        182 |               ctypes.util
import time:      2910 |       3091 |             pynvml
import time:       685 |        685 |               torch.cuda._memory_viz
import time:       319 |       1004 |             torch.cuda.memory
import time:       183 |        183 |             torch.cuda.random
import time:       173 |        173 |               torch.cuda.amp.autocast_mode
import time:       108 |        108 |                 torch.cuda.amp.common
import time:       355 |        463 |               torch.cuda.amp.grad_scaler
import time:       136 |        771 |             torch.cuda.amp
import time:       158 |        158 |             torch.cuda.jiterator
import time:       125 |        125 |             torch.cuda.nvtx
import time:       119 |        119 |             torch.cuda.profiler
import time:       101 |        101 |             torch.cuda.sparse
